ID;Nom;Statut;Etape;Pipeline;Montant HT;Probabilite %;Date cloture;Client;Email client;Responsable;Tags;Source;Date creation;Description
5937147;28-CHARTRES AMENAGEMENT-CHARTRES-TOTEM LIZ-202203;lost;Devis froid;Commercial;12770.00;30;;;;;;Appel entrant / Emailing / Marketing;2022-03-22;
5937290;18-CREDIT MUTUEL-BOURGES-POTENCE-202203;lost;Identifié;Commercial;8527.60;0;;;;;;Appel entrant / Emailing / Marketing;2022-03-22;
5937394;75-Promogim-IDF-Cobat-Altize-202203;lost;Budget;Commercial;0.00;0;;;;;;Aucune;2022-03-22;
5937858;75-RATP REAL ESTATE-IDF-Habillage Palissade-202203;lost;Identifié;Commercial;0.00;0;;;;;;Commercial / Partenaire;2022-03-22;
5947991;03-CC Entr allier besbre et loire-dompierre sur besbre-Totem-202203;closed;Identifié;Commercial;0.00;0;;;;;;Appel entrant / Emailing / Marketing;2022-03-23;
5950115;AO-CAPELLI-FRANCE-Altize-202203;lost;Budget;Commercial;0.00;0;;;;;;Appel entrant / Emailing / Marketing;2022-03-24;
5950625;27-VALLOIS-DOUAINS-PALISSADE LED-202203;lost;Devis froid;Commercial;48660.00;30;;;;;;Appel entrant / Emailing / Marketing;2022-03-24;
5951253;CH-57-AFAAP-FRIBOURG-TOTEM-202203;lost;Devis froid;Commercial;7380.00;30;;;;;;Appel entrant / Emailing / Marketing;2022-03-24;
5953054;92-Symtria-Vanves-Altize-202203;lost;Devis froid;Commercial;10480.00;30;;;;;;Appel entrant / Emailing / Marketing;2022-03-24;
5966658;31-K&B-Toulouse-Terre Garonne-Altize-202203;lost;Devis tiède;Commercial;21015.00;60;;;;;;Commercial / Partenaire;2022-03-28;
5971175;92-Erisma-Avenue de la République-Altize-202203;lost;Budget;Commercial;6455.00;0;;;;;;Commercial / Partenaire;2022-03-29;
5971482;06-MARIO STASI-NICE-CLINIQUE GERIATRIQUE-202203;lost;Devis froid;Commercial;1805.00;30;;;;;;Appel entrant / Emailing / Marketing;2022-03-29;
5971678;78-NGE-GUYANCOURT-LIGNE 18 GRAND PARIS EXPRESS-202203;closed;Qualifié;Commercial;0.00;0;;;;;;Appel entrant / Emailing / Marketing;2022-03-29;
5974048;69-Adjectif-Lyon-totem-202203;lost;Devis froid;Commercial;26558.00;30;;;;;;Appel entrant / Emailing / Marketing;2022-03-29;
5974402;75-SPAZIO-PARIS-RUE ST HONORE-202203;won;Devis froid;Commercial;26968.40;30;;;;;;Appel entrant / Emailing / Marketing;2022-03-29;
5975873;91-KLOSTAB-BRIIS SUR FORGE-PALISSADE-202203;lost;Devis froid;Commercial;23325.00;30;;;;;;Appel entrant / Emailing / Marketing;2022-03-30;
5978999;44-LVDH-Nantes-vitrophanie-202203;won;Devis froid;Commercial;883.25;30;;;;;;Client existant;2022-03-30;
5979074;75-RATP REAL ESTATE-IDF-Panneau Dibond-202203;lost;Devis froid;Commercial;3090.00;30;;;;;;Commercial / Partenaire;2022-03-30;
5981772;BE-50-LA RENAISSANCE-NAMUR-TROMPE L OEIL HAUSSMANNIEN-202203;won;Devis froid;Commercial;19990.00;30;;;;;;Appel entrant / Emailing / Marketing;2022-03-31;
5989538;21-ALGECO-ARNAY LE DUC-BARDAGE BOIS-202203;won;Devis tiède;Commercial;9853.67;60;;;;;;Client existant;2022-03-31;
6007041;91-PGD Batiment-Gometz-le-Châtel-Altize-202204;lost;Devis froid;Commercial;10950.00;30;;;;;;Commercial / Partenaire;2022-04-05;
